query_id,answer
438,1909 4396 1899 1901 4286 1918 2244 4234 4308 2248
439,4440 2663 2220 4008 2968 2894 2942 2217 2279 3643
440,3026 4395 4424 2646 4219 2681 4198 4389 4384 4214
441,4219 2646 4361 4331 4308 4234 4440 4010 4313 4408
442,4424 4395 3026 4425 4349 2105 4225 2646 2681 4198
443,2865 4219 2831 1966 4400 4403 2944 2646 2696 4407
444,4451 4220 4447 4214 2698 4445 3314 2405 3995 4366
445,4286 1909 1907 4396 4234 1899 4308 3436 4328 4362
446,4423 4232 4346 4372 4364 4326 4261 2914 4371 2908
447,1958 4219 4387 2646 4234 1966 2865 4400 3567 4504
448,4400 4407 2831 4219 4403 2865 4387 4408 4532 2646
449,1958 4400 4387 4403 2831 4407 4408 2944 2521 4219
450,2962 4361 4302 4384 2646 4409 4504 2865 4516 4406
451,1951 4320 3467 4366 4214 4532 4234 4321 4045 4361
452,4219 2646 4308 3564 4361 4384 4234 3127 4408 2962
453,4440 4389 4313 4525 4312 2220 4384 3564 4204 3078
454,4445 4451 4209 3995 2203 4111 4335 4403 4407 4400
455,1951 4234 4361 4362 4045 4308 4403 2698 4204 4214
456,4361 3844 4516 4322 4517 4406 4010 4309 4208 4525
457,4308 1951 4234 3467 4214 4286 4328 2698 4362 1899
458,2918 4320 4354 4433 4321 4436 4242 4220 4371 4372
459,4423 4364 4372 2908 2917 4318 4232 2909 4371 3028
460,4219 4361 2865 2646 1966 4400 4234 4408 2831 2521
461,4395 4424 3026 4214 2646 2665 1901 2698 4205 3088
462,4408 2244 4433 2238 4367 4354 4388 4371 4111 4335
463,4440 4361 4219 2943 2865 4389 4406 1966 4394 2521
464,4406 3844 4332 4322 3169 4525 4361 4409 2696 2721
465,1966 4219 2646 4387 1909 4403 1958 4407 4361 4400
466,3859 2199 2904 2706 2906 4351 3256 4372 2905 2903
467,4234 1951 4361 4045 4403 4366 4331 4532 4362 4308
468,4433 4008 4243 4242 4287 2922 2794 2207 4367 2197
469,4008 3595 2217 4287 2663 2661 2942 2695 2968 4388
470,4400 4219 2865 4407 3088 4387 4532 4389 1958 2831
471,3580 4381 4373 4276 4379 4180 4204 4310 4207 4375
472,3993 2895 4266 4006 4311 2208 4291 4307 4224 2934
473,4440 4389 4361 4313 4394 4222 2943 3078 4350 4219
474,4320 1951 4234 4366 4321 4214 3467 3128 4045 4532
475,4440 2968 2663 2894 2220 2288 4363 4389 2696 4375
476,4440 2220 2894 3128 4375 3643 4389 2663 2942 4276
477,2663 4440 2968 3643 4375 2220 4008 2794 2695 3128
478,4219 1966 1958 2646 2865 3567 4387 4508 4509 2944
479,4328 4234 1909 4286 4045 4362 1918 4396 4050 4153
480,2696 3470 2865 4219 1966 3078 4408 2866 4400 2646
481,2663 4008 4287 2948 2795 2217 2896 2968 3552 4348
482,2802 1901 3265 4407 3088 4362 2944 2521 3843 4387
483,3436 4396 1907 2920 2831 4367 4551 2238 4328 1909
484,4407 2646 4219 2944 4408 4302 4400 2521 4409 2865
485,1966 4400 2831 4403 2865 4219 4234 4408 4407 4358
486,4396 4387 4407 2249 4408 3088 1901 4205 3007 3149
487,4308 4362 4234 4214 4400 4286 3265 4331 2196 4396
488,3467 1951 4214 4532 4234 2698 4308 4361 4050 4362
489,4214 2665 2698 4366 2646 4451 4331 4219 4361 4050
490,4440 4389 2943 4219 4361 2646 4331 1966 4308 4408
491,4395 4424 4389 3026 4198 2681 4219 4407 4222 4409
492,4408 4219 4387 3470 1966 4400 4331 4407 2646 4361
493,4287 4269 3643 2663 3128 2207 2220 2905 2661 3482
494,4214 2698 4366 4234 4433 4308 4153 1951 4290 4111
495,4423 4371 4414 2215 3751 4364 4232 3737 4372 4496
496,4331 4361 4308 1966 4234 2646 1910 4408 4396 4219
497,2944 2521 3843 4395 4219 4424 3168 2646 2802 2831
498,2865 4361 2831 2521 2944 2943 1958 4389 4331 4407
499,2698 4214 4362 4045 4050 4433 4153 2217 2942 4354
500,4153 4362 4050 4045 2196 4433 1844 4262 4264 3090
